Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Job Security,Work Life Balance,Work Satisfaction,Promotions
InterGlobe Aviation,Aviation,New Delhi,100,39,3000,3.5,Medium,Low,Medium,Low
Conduent,BPO,Bangalore,35,212,3000,3.4,Medium,Medium,Medium,Low
RSPL Group,FMCG,Kanpur,238,31,3000,4.0,High,High,Medium,Low
Barclays,Banking,Pune,37,0,3000,3.8,Medium,Medium,Low,Low
Tata Technologies,Engineering & Construction,Pune,53,114,3000,3.5,Medium,Medium,Low,Low
GeBBS Healthcare Solutions,Healthcare,Mumbai,25,72,3000,3.7,High,Medium,Low,Low
UNO Minda,Auto Components,Pune,100,7,3000,3.9,High,Medium,Medium,Low
Alstom Transportation,Engineering & Construction,Bangalore,75,286,3000,3.7,High,Medium,Low,Low
AGS Health,IT Services & Consulting,Chennai,59,34,3000,4.0,High,High,Medium,Medium
Tata AIG,Insurance,Mumbai,253,126,2900,4.1,High,High,Medium,Low
Max Healthcare,Healthcare,New Delhi,75,132,2900,3.9,High,Medium,Medium,Low
PhonePe,FinTech,Bangalore,341,19,2900,4.0,Medium,High,Medium,Medium
Cloudnine Hospital,Healthcare,Bangalore,42,0,2900,4.5,Medium,High,Medium,Medium
Amazon Transportation Services,Other,Hyderabad,219,0,2900,4.1,Medium,Medium,Medium,Medium
UPL,Agro Chemicals,Ankleshwar,181,51,2900,4.1,High,High,Medium,Medium
Walmart,Retail,Bangalore,91,164,2900,3.5,Low,Medium,Low,Low
S&P Global,Analytics & KPO,Hyderabad,46,473,2900,4.0,Medium,High,Medium,Low
PepsiCo,Food Processing,Hyderabad,263,308,2900,4.0,High,High,Medium,Low
Dilip Buildcon,Engineering & Construction,Bhopal,218,21,2900,3.9,Low,Medium,Medium,Low
TVS Credit Services Ltd,NBFC,Chennai,402,39,2900,4.2,Medium,High,Medium,Medium
Varroc Group,Auto Components,Pune,60,12,2900,3.6,Low,Medium,Medium,Low
Titan Company,Retail,Bangalore,176,117,2900,4.2,High,High,Medium,Medium
Croma,Retail,Mumbai,180,20,2900,3.9,High,High,Medium,Low
Bajaj Allianz General Insurance,Insurance,Pune,266,253,2900,3.7,Medium,Low,Low,Low
Square Yards,Internet,Gurgaon,50,41,2800,3.6,Low,Medium,Medium,Medium
CMS IT Services,IT Services & Consulting,Mumbai,152,55,2800,3.1,Medium,Medium,Medium,Low
Mankind Pharma,Pharma,New Delhi,230,14,2800,3.8,Medium,Medium,Medium,Low
Societe Generale Global Solution Centre,IT Services & Consulting,Bangalore,25,87,2800,3.7,High,High,Low,Low
Zensar Technologies,IT Services & Consulting,Pune,30,332,2800,3.7,Low,High,Medium,Low
Afcons Infrastructure,Engineering & Construction,Mumbai,114,34,2800,4.2,High,Medium,Medium,Medium
ACC,Building Material,Mumbai,258,16,2800,3.9,Medium,Medium,Medium,Low
Torrent Pharmaceuticals,Pharma,Ahmedabad,121,29,2800,3.9,High,High,Medium,Low
MSN Laboratories,Pharma,Hyderabad,97,36,2800,3.6,High,Low,Low,Medium
UnitedHealth,Healthcare,Hyderabad,18,0,2700,4.0,High,High,Medium,Low
Blinkit,Internet,Gurgaon,121,0,2700,3.8,Low,Medium,Low,Low
Quest Global,IT Services & Consulting,Bangalore,46,181,2700,3.5,Medium,Medium,Low,Low
HDFC Sales,Financial Services,Mumbai,326,39,2700,3.9,Medium,High,Medium,Low
I Process Services,Other,Mumbai,384,0,2700,3.8,Medium,High,Medium,Low
Nokia,Telecom,Bangalore,165,157,2700,4.0,Medium,High,High,Low
Shoppers Stop,Retail,Mumbai,81,8,2700,4.0,High,High,Medium,Low
Jindal Stainless,Iron & Steel,Jajpur,75,19,2700,4.2,High,High,Medium,Medium
Fujitsu,IT Services & Consulting,Pune,40,63,2700,3.8,Medium,High,Medium,Low
Whitehat jr,EdTech,Mumbai,49,0,2700,3.4,Low,Medium,Medium,Low
Fiserv,FinTech,Pune,33,80,2700,2.8,Medium,Medium,Low,Low
Apollo Tyres,Auto Components,Chennai,174,0,2700,4.0,Medium,High,Medium,Low
Suzlon Group,Power,Pune,130,31,2600,4.0,High,High,Medium,Low
IDFC FIRST Bharat,Financial Services,Chennai,377,0,2600,4.3,Medium,High,Medium,Medium
Eternal Limited,Internet,Gurgaon,214,6,2600,3.6,Low,Low,Medium,Low
DS Group,FMCG,Noida,269,48,2600,4.0,High,High,Medium,Low
Shree Cement,Building Material,Beawar,250,0,2600,3.8,Low,Medium,Medium,Low
Tata Elxsi,IT Services & Consulting,Bangalore,30,48,2600,3.6,High,Medium,Low,Low
Yazaki,Auto Components,Pune,88,4,2600,3.9,High,Medium,Medium,Low
IKS Health,Analytics & KPO,Mumbai,28,10,2600,3.5,Medium,Medium,Low,Low
Indus Towers,Hardware & Networking,Gurgaon,216,25,2600,3.6,Medium,Low,Low,Low
Capita,IT Services & Consulting,Pune,32,47,2600,3.5,Medium,Medium,Medium,Low
Flex,Electronics Manufacturing,Chennai,46,51,2600,3.9,Medium,High,Medium,Low
VVDN Technologies,IT Services & Consulting,Gurgaon,44,7,2600,3.6,Medium,Medium,Medium,Low
Landmark Group,Retail,Bangalore,163,15,2600,3.9,High,Medium,Medium,Low
Blue Dart Express Ltd,Logistics,Mumbai,266,6,2500,3.9,High,Medium,Medium,Low
ElasticRun,Logistics,Pune,379,8,2500,3.6,Low,Medium,Low,Low
Shell,Oil & Gas,Bangalore,89,33,2500,3.9,Low,High,Medium,Low
Sahrudaya Healthcare (Medicover Hospitals),Healthcare,Hyderabad,44,31,2500,4.5,Medium,High,High,Medium
Nestle,FMCG,Gurgaon,267,24,2500,3.8,High,Low,Medium,Low
Exide Industries,Auto Components,Kolkata,197,72,2500,3.4,Medium,Medium,Low,Low
KPMG Global Services,Management Consulting,Bangalore,37,0,2500,3.5,Medium,Medium,Low,Low
Britannia,FMCG,Bangalore,278,0,2500,4.0,High,Medium,Medium,Low
ESAF Small Finance Bank,Banking,Thrissur,405,33,2500,3.6,Medium,Medium,Low,Low
SRF,Chemicals,Bharuch,68,16,2500,4.1,High,High,Medium,Low
TVS Supply Chain Solutions,Logistics,Chennai,148,15,2500,3.8,Medium,Medium,Medium,Low
G4S,Law Enforcement & Security,Gurgaon,153,309,2500,4.0,High,High,Medium,Low
Dalmia Bharat Cement,Building Material,Guwahati,241,1,2500,3.9,High,Medium,Medium,Low
GATI-KWE,Logistics,Hyderabad,161,5,2500,3.9,High,High,Medium,Low
Micro Labs,Pharma,Bangalore,143,12,2500,3.6,Medium,Medium,Medium,Low
Ola Electric Mobility,Automobile,Bangalore,370,0,2400,3.3,Low,Low,Medium,Medium
KFintech,FinTech,Hyderabad,109,10,2400,3.4,Medium,Medium,Medium,Low
BlackBuck,Internet,Bangalore,356,9,2400,3.7,Low,Medium,Medium,Low
Kansai Nerolac Paints,Chemicals,Mumbai,235,85,2400,3.8,Medium,Medium,Low,Low
ZS,Management Consulting,Pune,17,104,2400,3.2,Medium,Low,Low,Low
Domino's Pizza,Other,New Delhi,239,0,2400,3.9,Medium,Medium,Medium,Medium
Statestreet HCL Services,BPO,Chennai,18,0,2400,3.4,Medium,Medium,Medium,Low
Bajaj Electricals,Consumer Electronics & Appliances,Mumbai,225,5,2400,3.9,Medium,High,Medium,Low
Voltas,Consumer Electronics & Appliances,Mumbai,194,20,2400,4.0,High,High,Medium,Low
Sammaan Capital Limited,NBFC,Gurgaon,199,8,2400,3.8,Medium,High,Medium,Low
Sterlite Technologies,Hardware & Networking,Aurangabad,97,102,2400,3.8,Low,Medium,Medium,Low
Sonalika Tractors,Automobile,Hoshiarpur,184,0,2400,3.6,Medium,Low,Medium,Low
Sagility,BPO,Bangalore,26,48,2400,3.9,High,High,Medium,Low
Paras Hospital,Healthcare,Patna,61,37,2400,4.2,Medium,High,Medium,Medium
Alldigi Tech,BPO,Chennai,36,17,2400,4.0,High,High,Medium,Medium
Bharat Financial Inclusion,NBFC,Hyderabad,451,2,2400,3.9,High,Medium,Medium,Medium
ACT Fibernet,Hardware & Networking,Hyderabad,55,15,2400,3.9,High,Medium,Medium,Low
Fortis Healthcare,Healthcare,New Delhi,67,87,2400,4.0,High,Medium,Medium,Low
NoBroker,Real Estate,Bangalore,48,253,2400,3.1,Medium,Low,Low,Low
Movate,IT Services & Consulting,Chennai,37,77,2300,3.2,Medium,Medium,Medium,Low
suzuki motor gujarat,Automobile,Ahmedabad,114,20,2300,4.2,High,Medium,Medium,Medium
Ajanta Pharma,Pharma,Mumbai,116,22,2300,3.9,High,Medium,Medium,Low
Blue Star,Consumer Electronics & Appliances,Mumbai,143,143,2300,4.1,Medium,Medium,Medium,Medium
Care Health Insurance,Internet,Gurgaon,233,20,2300,3.5,Medium,Medium,Low,Low
Tractors and Farm Equipment,Industrial Machinery,Chennai,183,19,2300,3.9,Medium,High,Medium,Low
Star Health & Allied Insurance,Insurance,Chennai,309,30,2300,3.5,Medium,Medium,Low,Low
Patanjali Ayurved,FMCG,Haridwar,296,0,2300,3.9,Medium,High,Medium,Low
McDonald's,Hospitality,New Delhi,146,1,2300,3.9,High,Medium,Medium,Medium
BT Group,Telecom,Gurgaon,23,12,2300,3.8,High,High,Medium,Low
Foundever,BPO,Hyderabad,24,80,2300,3.5,Medium,Medium,Low,Low
DBS Bank,Banking,Hyderabad,168,250,2300,3.8,Medium,Medium,Low,Low
Himalaya Wellness,Other,Bangalore,226,15,2300,4.1,High,High,Medium,Low
V-Mart,Retail,Gurgaon,277,12,2300,4.1,High,High,Medium,Medium
Capgemini Engineering,IT Services & Consulting,Bangalore,28,98,2300,3.4,Medium,Medium,Low,Low
Axis Direct,Financial Services,Mumbai,267,49,2300,3.6,Medium,Medium,Low,Low
Gallagher,Insurance,Bangalore,28,133,2300,3.7,High,High,Medium,Low
KocharTech,IT Services & Consulting,Kolkata,27,44,2300,3.8,High,Medium,Medium,Low
Adani Power,Power,Mundra,120,0,2300,3.8,Low,High,Medium,Low
JCB,Other,Pune,109,0,2300,3.9,Medium,Medium,Medium,Medium
Planet Spark,EdTech,Gurgaon,62,70,2300,3.9,Medium,High,Medium,Medium
Parle Agro,Beverage,Mumbai,240,2,2300,3.9,High,High,Medium,Low
IntouchCX,BPO,Hyderabad,22,159,2300,2.7,Low,Medium,Low,Low
ICICI Securities,Financial Services,Mumbai,144,41,2200,3.9,High,High,Medium,Medium
Datamatics Global Services,IT Services & Consulting,Mumbai,35,50,2200,3.4,Medium,Medium,Medium,Low
Taj Hotels Resorts and Palaces,Hospitality,Mumbai,105,54,2200,4.2,High,Medium,Medium,Medium
Intellect Design Arena,Software Product,Chennai,40,66,2200,3.7,High,Medium,Medium,Low
Exl India,Logistics,New Delhi,42,0,2200,3.5,High,Medium,Low,Low
Info Edge,Internet,Noida,70,477,2200,3.9,High,High,Medium,Low
Mahindra Rural Housing Finance,NBFC,Mumbai,448,24,2200,4.0,Medium,High,Medium,Low
Biocon Limited,Biotechnology,Bangalore,65,15,2200,4.0,High,High,Medium,Low
Cybage,IT Services & Consulting,Pune,15,38,2200,3.7,High,High,Low,Low
Canara HSBC Life Insurance,Insurance,Gurgaon,301,16,2200,3.6,Low,Medium,Low,Medium
Cholamandalam MS General Insurance,Insurance,Chennai,373,0,2200,3.7,Medium,Medium,Low,Low
Aditya Birla Group,Metals & Mining,Mumbai,252,2,2200,4.1,High,High,Medium,Medium
Emcure Pharmaceuticals,Pharma,Pune,113,38,2200,3.7,Low,Medium,Medium,Low
3i Infotech,IT Services & Consulting,Mumbai,120,28,2200,3.4,Medium,Medium,Medium,Low
Lifestyle,Retail,Bangalore,129,11,2200,4.3,High,High,Medium,Medium
Delhi Public School,Education & Training,New Delhi,266,167,2200,3.9,Medium,Medium,Medium,Medium
Mahindra Holidays & Resorts,Hospitality,Mumbai,109,60,2200,3.5,Medium,Low,Low,Low
Akums Drugs & Pharmaceuticals Limited,Pharma,Haridwar,36,17,2200,4.3,High,Medium,Medium,Medium
Tata Advanced Systems,Defence & Aerospace,Bangalore,49,4,2200,3.7,High,Medium,Medium,Low
Niva Bupa Health Insurance Company,Insurance,New Delhi,249,32,2200,3.5,Medium,Medium,Low,Low
Photon Interactive,IT Services & Consulting,Chennai,15,1300,2200,4.1,Medium,Medium,High,Medium
Syngene International,Clinical Research,Bangalore,21,76,2200,3.9,High,High,Medium,Low
Xoriant,IT Services & Consulting,Pune,24,62,2200,4.1,Medium,High,Medium,Medium
Hero FinCorp,NBFC,New Delhi,374,32,2100,4.0,Medium,High,Medium,Low
Unacademy,EdTech,Bangalore,70,22,2100,2.9,Low,Low,Medium,Low
Bureau Veritas,Analytics & KPO,Mumbai,135,15,2100,3.8,Medium,High,Medium,Low
Eureka Forbes,Consumer Electronics & Appliances,Mumbai,179,18,2100,3.6,Low,Medium,Medium,Low
Laurus Labs,Pharma,Visakhapatnam,31,2,2100,4.3,High,Medium,Medium,Medium
Cadila Pharmaceuticals,Pharma,Ahmedabad,129,83,2100,3.4,Low,Medium,Medium,Low
Physicswallah,EdTech,Noida,113,53,2100,3.6,Low,Medium,Medium,Low
Lava International,Consumer Electronics & Appliances,Noida,220,2,2100,4.0,Medium,High,Medium,Low
Aditya Birla Capital,Financial Services,Mumbai,267,1,2100,3.8,Medium,High,Medium,Low
Huawei Technologies,Telecom,Bangalore,106,4,2100,4.0,Low,Medium,Medium,Medium
Straive,IT Services & Consulting,Chennai,29,64,2100,3.3,Medium,Medium,Medium,Low
Adani Group,Power,Ahmedabad,173,69,2100,3.8,High,Medium,Medium,Low
Sopra Steria,IT Services & Consulting,Noida,19,206,2100,3.8,High,High,Medium,Low
Zepto,Internet,Bangalore,88,21,2100,3.6,Low,Low,Medium,Medium
Myntra,Internet,Bangalore,102,30,2100,3.9,Medium,Medium,Medium,Low
Sobha,Real Estate,Bangalore,39,43,2100,3.8,High,Low,Low,Low
Radisson Hotels,Hospitality,New Delhi,120,228,2100,4.0,High,Medium,Medium,Medium
Kia India,Automobile,Anantapur,176,94,2100,4.0,High,Medium,Medium,Medium
Nokia Networks,Hardware & Networking,Chennai,87,118,2100,4.2,Medium,High,High,Low
Aavas Financiers,Financial Services,Jaipur,277,52,2100,3.9,Medium,Medium,Medium,Low
GlaxoSmithKline Pharmaceuticals,Pharma,Bangalore,206,37,2100,4.1,Medium,High,Medium,Low
Ola Cabs,Internet,Bangalore,105,12,2000,3.3,Low,Medium,Medium,Low
Renault Nissan Technology & Business Centre India,Automobile,Chennai,18,65,2000,3.8,High,High,Medium,Low
Simplex Infrastructures,Engineering & Construction,Kolkata,138,0,2000,3.4,Medium,Medium,Medium,Low
Team Computers,IT Services & Consulting,New Delhi,101,181,2000,3.7,Medium,Medium,Medium,Low
RMSI,IT Services & Consulting,Hyderabad,23,28,2000,3.6,Medium,Medium,Medium,Low
Cisco,Hardware & Networking,Bangalore,44,163,2000,4.1,Medium,High,Medium,Low
Whirlpool,Consumer Electronics & Appliances,Pune,160,10,2000,3.9,Medium,High,Medium,Low
Endurance Technologies,Auto Components,Aurangabad,46,16,2000,3.9,High,Medium,Medium,Low
Apollo Pharmacy,Pharma,Hyderabad,262,32,2000,3.7,High,Medium,Low,Low
GVK Emergency Management and Research Institute,Non-Profit,Lucknow,199,13,2000,3.6,Low,Medium,Medium,Low
Indian Railways,Railways,Kolkata,233,0,2000,4.2,High,High,Medium,Medium
Panasonic Life Solutions India,Consumer Electronics & Appliances,Haridwar,155,18,2000,4.0,High,High,Medium,Low
Lodha Group,Real Estate,Mumbai,25,172,2000,4.0,High,High,Medium,Medium
Henry Harvin Education,Other,Noida,31,41,2000,3.7,Medium,Medium,Low,Low
ValueLabs,IT Services & Consulting,Hyderabad,19,85,2000,3.6,Low,Medium,Medium,Low
Ambuja Cements,Building Material,Mumbai,240,1,2000,3.8,High,Medium,Medium,Low
Foxconn,Electronics Manufacturing,Chennai,55,12,2000,3.8,Medium,Medium,Medium,Low
SBI Securities,Financial Services,Mumbai,298,91,2000,3.7,High,High,Medium,Low
TCE,Engineering & Construction,Mumbai,131,81,2000,3.8,Low,Medium,Low,Low
TaskUs,BPO,Indore,34,345,2000,3.1,High,High,Medium,Low
Shahi Exports,Fashion & Textile,Bangalore,67,33,2000,4.0,High,Medium,Low,Low
Bank of Baroda,Banking,Mumbai,287,0,2000,3.5,High,High,Medium,Medium
Adani Wilmar,FMCG,Ahmedabad,187,97,2000,4.1,High,Medium,Medium,Low
State Street Syntel,Financial Services,Pune,22,0,2000,3.7,Medium,High,Medium,Medium
Star Union Dai-ichi Life Insurance,Insurance,Mumbai,296,38,2000,3.9,Low,Medium,Low,Low
Bharti AXA Life Insurance,Insurance,Mumbai,237,82,2000,3.6,Low,Medium,Low,Low
Extramarks Education,EdTech,Noida,108,14,2000,3.5,Medium,High,Medium,Medium
Life Insurance Corporation of India,Insurance,New Delhi,459,0,2000,4.4,Low,Medium,Medium,Low
Meesho,Internet,Bangalore,121,153,2000,3.7,Low,High,Medium,Low
Microsoft Corporation,Software Product,Bangalore,46,0,2000,3.8,High,High,Medium,Medium
BHEL,Electrical Equipment,Bangalore,121,0,2000,4.1,Medium,Medium,Medium,Low
Sify Technologies,IT Services & Consulting,Chennai,125,29,2000,3.7,Medium,High,Medium,Low
Allstate,Insurance,Pune,16,24,2000,3.7,Medium,Medium,Medium,Medium
upGrad,EdTech,Bangalore,49,38,2000,3.5,Low,Medium,Low,Low
Force Motors,Automobile,Pune,100,2,2000,3.6,Medium,Medium,Low,Low
Coromandel International,Agro Chemicals,Visakhapatnam,172,14,2000,4.1,High,High,Medium,Low
Pfizer,Pharma,Visakhapatnam,125,39,2000,3.9,Low,High,Medium,Low
SBI General Insurance,Insurance,Mumbai,268,30,2000,3.6,Medium,Medium,Low,Low
Ninjacart,Internet,Bangalore,109,13,2000,3.8,Low,Medium,Medium,Low
CAMS,Financial Services,Chennai,106,30,1900,3.6,High,Medium,Medium,Low
Raymond Lifestyle Limited,Fashion & Textile,Mumbai,138,1,1900,4.1,High,High,Medium,Low
Cargill,Food Processing,Bangalore,111,287,1900,3.9,Medium,High,Medium,Low
Renault-Nissan,Other,Chennai,85,0,1900,4.2,High,High,Medium,Low
Daikin Airconditioning India Pvt. Ltd.,Consumer Electronics & Appliances,Neemrana,104,9,1900,4.1,High,High,Medium,Low
Tata Electronics,Semiconductors,Hosur,37,32,1900,4.0,High,High,Medium,Low
Reliance Trends,Retail,Bangalore,375,0,1900,4.1,High,Medium,Medium,Medium
BNP Paribas,Financial Services,Mumbai,26,219,1900,3.7,High,High,Low,Low
Spark Minda,Auto Components,Pune,69,12,1900,3.9,Medium,Medium,Medium,Low
Future Generali India Life Insurance,Insurance,Mumbai,189,22,1900,3.5,Low,Medium,Low,Low
Bharat Petroleum,Oil & Gas,Mumbai,248,0,1900,4.1,Medium,High,Medium,Low
Mercedes-Benz Research and Development India,IT Services & Consulting,Bangalore,48,95,1900,3.7,High,High,Low,Low
Delphi TVS,Auto Components,Chennai,54,1,1900,3.9,High,Medium,High,Low
HSBC Electronic Data Processing,Banking,Bangalore,20,1,1900,4.1,High,High,Medium,Low
Brakes India,Auto Components,Chennai,91,7,1900,3.8,High,Medium,Medium,Low
Power Mech Projects,Engineering & Construction,Hyderabad,143,3,1900,3.8,High,Medium,Medium,Low
Poonawalla Fincorp,NBFC,Pune,259,52,1900,3.6,Medium,Medium,Low,Low
Kotak Securities,Financial Services,Mumbai,137,19,1900,3.6,Medium,Medium,Low,Low
FirstCry,Internet,Pune,196,8,1900,3.6,Medium,Medium,Low,Low
SAP,Software Product,Bangalore,54,143,1900,4.2,High,High,Medium,Medium
Saint-Gobain,Engineering & Construction,Mumbai,98,65,1900,3.9,High,High,Medium,Low
CitiusTech,IT Services & Consulting,Mumbai,17,131,1900,3.2,Low,Medium,Low,Low
ITC Hotels,Hospitality,New Delhi,92,0,1900,4.1,High,Medium,Medium,Low
YASH Technologies,IT Services & Consulting,Hyderabad,29,789,1900,3.7,Medium,High,Medium,Low
Morgan Stanley,Financial Services,Mumbai,19,5,1800,3.6,Low,Medium,Low,Low
Reliance General Insurance,Insurance,Mumbai,189,2,1800,3.6,Medium,Medium,Low,Low
Novartis,Pharma,Hyderabad,76,287,1800,4.1,Medium,High,Medium,Low
Nuvoco Vistas,Building Material,Kolkata,180,5,1800,4.1,High,High,Medium,Medium
SGS,Clinical Research,Mumbai,137,108,1800,3.8,Medium,High,Medium,Low
GAO Tek,Electrical Equipment,New York,39,0,1800,4.4,Medium,High,Medium,Medium
JK Tyres,Auto Components,Chennai,136,1,1800,3.6,Medium,Low,Medium,Low
Tata Motors Finance,NBFC,Mumbai,246,2,1800,4.1,Medium,High,High,Low
Infinite Computer Solutions,IT Services & Consulting,Bangalore,36,240,1800,3.3,Low,Medium,Medium,Low
Google,Software Product,Bangalore,85,529,1800,4.4,Medium,High,High,Medium
L&T Energy Hydrocarbon,Engineering & Construction,Vadodara,88,0,1800,3.8,High,Low,Medium,Low
Jio Platforms,IT Services & Consulting,Mumbai,93,0,1800,3.4,High,Medium,Medium,Low
Senco Gold,Jewellery,Kolkata,75,6,1800,4.4,High,Medium,Medium,Medium
AECOM,Engineering & Construction,Gurgaon,119,331,1800,4.2,Medium,High,High,Low
Biological E,Pharma,Hyderabad,63,36,1800,4.2,High,High,Medium,Medium
IDBI Bank,Banking,Mumbai,314,0,1800,3.5,High,Medium,Low,Low
Parle Products,FMCG,Mumbai,228,4,1800,3.9,Medium,Medium,Medium,Low
EPAM Systems,IT Services & Consulting,Hyderabad,33,142,1800,3.7,Low,High,Low,Low
Crisil,Analytics & KPO,Mumbai,72,673,1800,3.5,Medium,Medium,Low,Low
Newgen Software Technologies,IT Services & Consulting,Noida,30,7,1800,3.8,High,Medium,Medium,Medium
Honeywell Automation,Industrial Automation,Pune,78,0,1800,3.7,High,Medium,Medium,Low
Paisabazaar.com,Internet,Gurgaon,35,56,1800,3.4,Low,Medium,Low,Low
Philips,Consumer Electronics & Appliances,Bangalore,92,105,1800,3.8,Low,High,Medium,Low
Gabriel India Limited,Auto Components,Pune,47,0,1800,4.1,High,Medium,Medium,Medium
NCR Corporation,IT Services & Consulting,Hyderabad,88,64,1800,3.6,Medium,Medium,Low,Low
Stellar Migration,Other,Dubai,8,0,1800,1.3,Medium,Low,Low,Medium
R.R. Donnelley,Marketing & Advertising,Chennai,26,22,1800,3.7,High,Medium,Medium,Low
Microland,IT Services & Consulting,Bangalore,45,520,1800,3.4,Medium,Medium,Low,Low
Uflex,Packaging,Noida,46,77,1800,3.8,High,Medium,Medium,Low
Narayana Health,Healthcare,Bangalore,64,92,1800,3.9,High,High,Medium,Low
